============================================================================================
ANSOFT                                                                              01/11/21
ParametricSetup3 Result                                                             10:54:11

--------------------------------------------------------------------------------------------
Variation   $X_displacement   $Y_displacement   Lpt_new: Freq(150kHz): None   L_st: Freq(150kHz): None   k_new: Freq(150kHz): None   Mpt_st: Freq(150kHz): None
      240               6mm               9mm            2809.14777784064nH          126.17803116484nH          0.0942659254912995           56.1220985622423nH
      241               6mm              12mm            2804.01706460036nH         126.010488122747nH          0.0925126833284054           54.9914221109334nH
      242               6mm              15mm            2809.13100608992nH         126.514126764752nH          0.0904929109697726           53.9473438428547nH
      243               6mm              18mm            2809.16688561766nH         126.505059177964nH          0.0879418590859896           52.4249903944711nH
      244               6mm              21mm             2807.7999922387nH         126.543803936595nH          0.0849023620972916           50.6084807320623nH
      245               6mm              24mm            2805.06206750805nH         126.562408267427nH          0.0814377024000244           48.5231643834418nH
      246               6mm              27mm            2803.44040526433nH         126.418206777361nH          0.0775651357592458           46.1760770397794nH
      247               6mm              30mm            2801.07987565323nH          126.31133371002nH          0.0736075114518571           43.7830530583463nH
      248               6mm              33mm            2801.83827082818nH         126.493955804162nH          0.0694015327994774           41.3166861413915nH
      249               6mm              36mm            2799.94322419564nH         126.282019085626nH          0.0648607122467956            38.567996981315nH
      250               6mm              39mm            2788.06948315436nH         125.994496532241nH          0.0602043220443549            35.682498348874nH
      251               6mm              42mm            2793.81119459351nH         126.345814592403nH          0.0557887972705325           33.1456053591194nH
      252               6mm              45mm            2792.17033534868nH         126.375979972162nH          0.0512381264138986           30.4366228863491nH
      253               6mm              48mm            2786.44494950348nH         126.252572023098nH          0.0468032564013022           27.7601252713263nH
      254               6mm              50mm            2788.58508293362nH         126.442745081538nH          0.0439467238704777           26.0954873973106nH
      255               3mm               0mm            2809.82873346345nH         126.263339543429nH          0.0962931922275867           57.3553778063737nH
      256               3mm               3mm            2810.03425625496nH         126.145074180072nH          0.0959015366999379            57.097424856388nH
      257               3mm               6mm            2805.91140510682nH         125.877433526603nH          0.0950432956604167           56.4849051998871nH
      258               3mm               9mm            2806.59463638947nH         125.972067532566nH           0.093924822232384           55.8479653931489nH
      259               3mm              12mm            2806.68541059593nH         125.988156278767nH          0.0922796611522845           54.8741391165147nH
      260               3mm              15mm            2808.98663781554nH         126.432009932707nH          0.0903053356047735           53.8166634473811nH
      261               3mm              18mm              2800.786510506nH         125.770463194267nH          0.0874373312227453            51.895084894426nH
      262               3mm              21mm            2803.00357196544nH         126.010184567025nH          0.0845766459759032           50.2649329922844nH
      263               3mm              24mm            2804.85955199512nH         126.401670962092nH          0.0813076133714276           48.4131321473941nH
      264               3mm              27mm            2800.08762216762nH         126.085988518057nH          0.0774161502385227           45.9992547506391nH
      265               3mm              30mm            2797.72209986054nH         126.175799409004nH          0.0733455293464133           43.5776660588133nH
      266               3mm              33mm            2802.48321733221nH         126.410888039474nH          0.0691440310999793           41.1546058538543nH
